iter	Passed	Remaining
726	8764	3291
727	8777	3279
728	8787	3266
729	8800	3255
730	8810	3242
731	8821	3229
732	8830	3216
733	8842	3204
734	8852	3191
735	8862	3178
736	8875	3167
737	8884	3154
738	8897	3142
739	8903	3128
740	8918	3117
741	8929	3104
742	8940	3092
743	8953	3080
744	8967	3069
745	8976	3056
746	8990	3045
747	9005	3033
748	9023	3023
749	9033	3011
750	9045	2999
751	9060	2988
752	9071	2975
753	9085	2964
754	9102	2953
755	9111	2940
756	9125	2929
757	9138	2917
758	9147	2904
759	9158	2892
760	9173	2880
761	9184	2868
762	9193	2855
763	9202	2842
764	9214	2830
765	9225	2818
766	9242	2807
767	9263	2798
768	9271	2785
769	9282	2772
770	9291	2759
771	9304	2747
772	9312	2734
773	9327	2723
774	9337	2710
775	9354	2700
776	9368	2688
777	9381	2676
778	9391	2664
779	9402	2651
780	9414	2639
781	9427	2628
782	9442	2616
783	9458	2605
784	9470	2593
785	9486	2582
786	9501	2571
787	9512	2559
788	9525	2547
789	9537	2535
790	9549	2523
791	9558	2510
792	9573	2498
793	9587	2487
794	9595	2474
795	9607	2462
796	9618	2449
797	9631	2437
798	9644	2426
799	9657	2414
800	9670	2402
801	9685	2391
802	9697	2378
803	9712	2367
804	9728	2356
805	9741	2344
806	9752	2332
807	9767	2321
808	9776	2308
809	9788	2296
810	9799	2283
811	9808	2271
812	9822	2259
813	9832	2246
814	9841	2234
815	9857	2222
816	9868	2210
817	9878	2197
818	9889	2185
819	9902	2173
820	9921	2163
821	9932	2150
822	9945	2139
823	9956	2126
824	9972	2115
825	9983	2103
826	9993	2090
827	10004	2078
828	10017	2066
829	10028	2054
830	10041	2042
831	10053	2030
832	10063	2017
833	10073	2005
834	10092	1994
835	10107	1982
836	10118	1970
837	10127	1957
838	10138	1945
839	10153	1934
840	10163	1921
841	10174	1909
842	10184	1896
843	10194	1884
844	10207	1872
845	10222	1860
846	10231	1848
847	10244	1836
848	10254	1823
849	10263	1811
850	10275	1799
851	10296	1788
852	10307	1776
853	10316	1763
854	10326	1751
855	10337	1739
856	10349	1727
857	10360	1714
858	10371	1702
859	10383	1690
860	10399	1678
861	10408	1666
862	10421	1654
863	10429	1641
864	10442	1629
865	10457	1618
866	10468	1605
867	10480	1593
868	10489	1581
869	10507	1570
870	10514	1557
871	10528	1545
872	10540	1533
873	10551	1521
874	10562	1508
875	10572	1496
876	10583	1484
877	10592	1471
878	10606	1460
879	10617	1447
880	10627	1435
881	10642	1423
882	10652	1411
883	10668	1399
884	10684	1388
885	10695	1376
886	10707	1364
887	10718	1351
888	10731	1339
889	10747	1328
890	10759	1316
891	10769	1303
892	10777	1291
893	10792	1279
894	10803	1267
895	10812	1255
896	10828	1243
897	10840	1231
898	10853	1219
899	10863	1207
900	10878	1195
901	10887	1182
902	10897	1170
903	10907	1158
904	10920	1146
905	10943	1135
906	10950	1122
907	10962	1110
908	10979	1099
909	10989	1086
910	11000	1074
911	11008	1062
912	11017	1049
913	11025	1037
914	11030	1024
915	11036	1012
916	11044	999
917	11054	987
918	11061	974
919	11067	962
920	11073	949
921	11081	937
922	11088	925
923	11094	912
924	11100	900
925	11106	887
926	11112	875
927	11118	862
928	11126	850
929	11134	838
930	11139	825
931	11146	813
932	11153	800
933	11162	788
934	11169	776
935	11177	764
936	11182	751
937	11187	739
938	11193	727
939	11198	714
940	11203	702
941	11208	690
942	11212	677
943	11217	665
944	11221	653
945	11254	642
946	11263	630
947	11268	618
948	11273	605
949	11278	593
950	11282	581
951	11285	569
952	11289	556
953	11292	544
954	11296	532
955	11299	520
956	11302	507
957	11306	495
958	11309	483
959	11312	471
960	11316	459
961	11319	447
962	11321	435
963	11324	422
964	11327	410
965	11329	398
966	11331	386
967	11334	374
968	11336	362
969	11338	350
970	11341	338
971	11343	326
972	11346	314
973	11348	302
974	11351	291
975	11353	279
976	11355	267
977	11358	255
978	11360	243
979	11363	231
980	11365	220
981	11367	208
982	11370	196
983	11372	184
984	11375	173
985	11378	161
986	11380	149
987	11382	138
988	11385	126
989	11387	115
990	11390	103
991	11392	91
992	11394	80
993	11397	68
994	11399	57
995	11401	45
996	11404	34
997	11407	22
998	11409	11
999	11412	0
0	36
997	12056	24
998	12064	12
999	12071	0
